,Unnamed: 0,id_old,status_new,status_old,status,home,away,points,betType,startTime,price,designation,period,live,link,scrapeMergeDate,result,playerName,statName,name,Stat,Value
60,245,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,19.5,Total Points - Pascal Siakam,2021-03-21 00:00:00+00:00,1.8,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Pascal Siakam,PTS,Pascal Siakam,PTS,9.0
61,246,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,19.5,Total Points - Pascal Siakam,2021-03-21 00:00:00+00:00,1.94,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Pascal Siakam,PTS,Pascal Siakam,PTS,9.0
62,247,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,7.0,Total Rebounds - Pascal Siakam,2021-03-21 00:00:00+00:00,1.89,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Pascal Siakam,REB,Pascal Siakam,REB,3.0
63,248,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,7.0,Total Rebounds - Pascal Siakam,2021-03-21 00:00:00+00:00,1.85,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Pascal Siakam,REB,Pascal Siakam,REB,3.0
64,249,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,6.0,Total Rebounds - Chris Boucher,2021-03-21 00:00:00+00:00,1.82,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Chris Boucher,REB,Chris Boucher,REB,5.0
65,250,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,6.0,Total Rebounds - Chris Boucher,2021-03-21 00:00:00+00:00,1.92,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Chris Boucher,REB,Chris Boucher,REB,5.0
66,251,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,11.5,Total Rebounds - Jarrett Allen,2021-03-21 00:00:00+00:00,2.0,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Jarrett Allen,REB,Jarrett Allen,REB,15.0
67,252,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,11.5,Total Rebounds - Jarrett Allen,2021-03-21 00:00:00+00:00,1.75,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Jarrett Allen,REB,Jarrett Allen,REB,15.0
68,253,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.0,Total Rebounds - Kyle Lowry,2021-03-21 00:00:00+00:00,1.85,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Kyle Lowry,REB,Kyle Lowry,REB,8.0
69,254,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.0,Total Rebounds - Kyle Lowry,2021-03-21 00:00:00+00:00,1.89,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Kyle Lowry,REB,Kyle Lowry,REB,8.0
70,255,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,8.0,Total Rebounds - Larry Nance Jr.,2021-03-21 00:00:00+00:00,1.97,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Larry Nance Jr.,REB,Larry Nance Jr.,REB,7.0
71,256,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,8.0,Total Rebounds - Larry Nance Jr.,2021-03-21 00:00:00+00:00,1.78,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Larry Nance Jr.,REB,Larry Nance Jr.,REB,7.0
72,257,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Rebounds - OG Anunoby,2021-03-21 00:00:00+00:00,1.87,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,OG Anunoby,REB,OG Anunoby,REB,6.0
73,258,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Rebounds - OG Anunoby,2021-03-21 00:00:00+00:00,1.87,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,OG Anunoby,REB,OG Anunoby,REB,6.0
74,259,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Assists - Fred VanVleet,2021-03-21 00:00:00+00:00,1.83,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Fred VanVleet,AST,Fred VanVleet,AST,7.0
75,260,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Assists - Fred VanVleet,2021-03-21 00:00:00+00:00,1.91,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Fred VanVleet,AST,Fred VanVleet,AST,7.0
76,261,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,7.5,Total Assists - Kyle Lowry,2021-03-21 00:00:00+00:00,1.85,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Kyle Lowry,AST,Kyle Lowry,AST,4.0
77,262,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,7.5,Total Assists - Kyle Lowry,2021-03-21 00:00:00+00:00,1.89,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Kyle Lowry,AST,Kyle Lowry,AST,4.0
78,263,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,4.5,Total Assists - Pascal Siakam,2021-03-21 00:00:00+00:00,1.89,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Pascal Siakam,AST,Pascal Siakam,AST,2.0
79,264,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,4.5,Total Assists - Pascal Siakam,2021-03-21 00:00:00+00:00,1.85,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Pascal Siakam,AST,Pascal Siakam,AST,2.0
80,265,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,3.5,Total Assists - Collin Sexton,2021-03-21 00:00:00+00:00,1.63,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Collin Sexton,AST,Collin Sexton,AST,4.0
81,266,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,3.5,Total Assists - Collin Sexton,2021-03-21 00:00:00+00:00,2.15,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Collin Sexton,AST,Collin Sexton,AST,4.0
82,267,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Assists - Darius Garland,2021-03-21 00:00:00+00:00,1.57,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,Darius Garland,AST,Darius Garland,AST,6.0
83,268,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,5.5,Total Assists - Darius Garland,2021-03-21 00:00:00+00:00,2.25,under,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,0,Darius Garland,AST,Darius Garland,AST,6.0
84,269,1557338,OPEN,OPEN,OPEN,Cleveland Cavaliers,Toronto Raptors,1.5,Total Made 3 Point Shots - OG Anunoby,2021-03-21 00:00:00+00:00,1.7000000000000002,over,0,False,https://www.coolbet.com/ca/sports/match/1557338,2021-03-21 00:00:00+00:00,1,OG Anunoby,FG3M,OG Anunoby,FG3M,2.0
