,Unnamed: 0,link,live,period,Americanprice,startTime,home,away,betType,designation,price,points,scrapeMergeDate,result,playerName,statName,name,Stat,Value
49,1521,https://www.pinnacle.com/en/Basketball/NBA/Utah-Jazz-vs-Toronto-Raptors/1285662272,False,0,112,2021-03-20 00:00:00+00:00,Toronto Raptors,Utah Jazz,Total Turnovers - Fred VanVleet,under,2.12,1.5,2021-03-19 00:00:00+00:00,1,Fred VanVleet,TOV,Fred VanVleet,TOV,1.0
50,1524,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,-135,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Total Points - Mason Plumlee,over,1.7409999999999999,10.5,2021-03-19 00:00:00+00:00,0,Mason Plumlee,PTS,Mason Plumlee,PTS,6.0
51,1525,https://www.pinnacle.com/en/Basketball/NBA/Detroit-Pistons-vs-Houston-Rockets/1285662269,False,0,102,2021-03-20 00:00:00+00:00,Houston Rockets,Detroit Pistons,Total Points - Mason Plumlee,under,2.02,10.5,2021-03-19 00:00:00+00:00,1,Mason Plumlee,PTS,Mason Plumlee,PTS,6.0
52,1528,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-110,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Points - Jamal Murray,over,1.909,19.5,2021-03-19 00:00:00+00:00,1,Jamal Murray,PTS,Jamal Murray,PTS,34.0
53,1529,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-120,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,Total Points - Jamal Murray,under,1.8330000000000002,19.5,2021-03-19 00:00:00+00:00,0,Jamal Murray,PTS,Jamal Murray,PTS,34.0
54,1606,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-213,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Assists - Andrew Wiggins,over,1.47,1.5,2021-03-19 00:00:00+00:00,1,Andrew Wiggins,AST,Andrew Wiggins,AST,4.0
55,1607,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,152,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Assists - Andrew Wiggins,under,2.52,1.5,2021-03-19 00:00:00+00:00,0,Andrew Wiggins,AST,Andrew Wiggins,AST,4.0
56,1646,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-107,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,"Total Points, Rebounds and Assists - Zach LaVine",over,1.935,35.5,2021-03-19 00:00:00+00:00,1,Zach LaVine,PRA,Zach LaVine,PRA,38.0
57,1647,https://www.pinnacle.com/en/Basketball/NBA/Chicago-Bulls-vs-Denver-Nuggets/1285690903,False,0,-124,2021-03-20 00:00:00+00:00,Denver Nuggets,Chicago Bulls,"Total Points, Rebounds and Assists - Zach LaVine",under,1.807,35.5,2021-03-19 00:00:00+00:00,0,Zach LaVine,PRA,Zach LaVine,PRA,38.0
58,1728,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,-146,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Made 3 Point Shots - De'Aaron Fox,over,1.685,1.5,2021-03-19 00:00:00+00:00,1,De'Aaron Fox,FG3M,De'Aaron Fox,FG3M,3.0
59,1729,https://www.pinnacle.com/en/Basketball/NBA/Sacramento-Kings-vs-Boston-Celtics/1285646061,False,0,110,2021-03-19 00:00:00+00:00,Boston Celtics,Sacramento Kings,Total Made 3 Point Shots - De'Aaron Fox,under,2.1,1.5,2021-03-19 00:00:00+00:00,0,De'Aaron Fox,FG3M,De'Aaron Fox,FG3M,3.0
60,1730,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-101,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Turnovers - Jimmy Butler,over,1.99,2.5,2021-03-19 00:00:00+00:00,1,Jimmy Butler,TOV,Jimmy Butler,TOV,3.0
61,1731,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-132,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Turnovers - Jimmy Butler,under,1.758,2.5,2021-03-19 00:00:00+00:00,0,Jimmy Butler,TOV,Jimmy Butler,TOV,3.0
62,1732,https://www.pinnacle.com/en/Basketball/NBA/Minnesota-Timberwolves-vs-Phoenix-Suns/1285730427,False,0,-148,2021-03-20 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,Total Blocks and Steals - Deandre Ayton,over,1.676,1.5,2021-03-19 00:00:00+00:00,0,Deandre Ayton,BS,Deandre Ayton,BS,0.0
63,1733,https://www.pinnacle.com/en/Basketball/NBA/Minnesota-Timberwolves-vs-Phoenix-Suns/1285730427,False,0,111,2021-03-20 00:00:00+00:00,Phoenix Suns,Minnesota Timberwolves,Total Blocks and Steals - Deandre Ayton,under,2.11,1.5,2021-03-19 00:00:00+00:00,1,Deandre Ayton,BS,Deandre Ayton,BS,0.0
64,1734,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-118,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Rebounds - Kevon Looney,over,1.848,5.5,2021-03-19 00:00:00+00:00,0,Kevon Looney,REB,Kevon Looney,REB,4.0
65,1735,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-112,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Rebounds - Kevon Looney,under,1.893,5.5,2021-03-19 00:00:00+00:00,1,Kevon Looney,REB,Kevon Looney,REB,4.0
66,1736,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,-136,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Made 3 Point Shots - Draymond Green,over,1.735,0.5,2021-03-19 00:00:00+00:00,0,Draymond Green,FG3M,Draymond Green,FG3M,0.0
67,1737,https://www.pinnacle.com/en/Basketball/NBA/Golden-State-Warriors-vs-Memphis-Grizzlies/1285662270,False,0,101,2021-03-20 00:00:00+00:00,Memphis Grizzlies,Golden State Warriors,Total Made 3 Point Shots - Draymond Green,under,2.01,0.5,2021-03-19 00:00:00+00:00,1,Draymond Green,FG3M,Draymond Green,FG3M,0.0
68,1738,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-123,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Points - Domantas Sabonis,over,1.8130000000000002,18.5,2021-03-19 00:00:00+00:00,0,Domantas Sabonis,PTS,Domantas Sabonis,PTS,13.0
69,1739,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-108,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Points - Domantas Sabonis,under,1.926,18.5,2021-03-19 00:00:00+00:00,1,Domantas Sabonis,PTS,Domantas Sabonis,PTS,13.0
70,1740,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-125,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Points - Damian Lillard,over,1.8,31.5,2021-03-19 00:00:00+00:00,0,Damian Lillard,PTS,Damian Lillard,PTS,31.0
71,1741,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-106,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Points - Damian Lillard,under,1.943,31.5,2021-03-19 00:00:00+00:00,1,Damian Lillard,PTS,Damian Lillard,PTS,31.0
72,1828,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-120,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Points - Luka Doncic,over,1.8330000000000002,28.5,2021-03-19 00:00:00+00:00,1,Luka Doncic,PTS,Luka Doncic,PTS,38.0
73,1829,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,-110,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Points - Luka Doncic,under,1.909,28.5,2021-03-19 00:00:00+00:00,0,Luka Doncic,PTS,Luka Doncic,PTS,38.0
74,1832,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,151,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Made 3 Point Shots - Caris LeVert,over,2.51,2.5,2021-03-19 00:00:00+00:00,0,Caris LeVert,FG3M,Caris LeVert,FG3M,0.0
75,1833,https://www.pinnacle.com/en/Basketball/NBA/Indiana-Pacers-vs-Miami-Heat/1285662268,False,0,-210,2021-03-20 00:00:00+00:00,Miami Heat,Indiana Pacers,Total Made 3 Point Shots - Caris LeVert,under,1.4769999999999999,2.5,2021-03-19 00:00:00+00:00,1,Caris LeVert,FG3M,Caris LeVert,FG3M,0.0
76,1836,https://www.pinnacle.com/en/Basketball/NBA/Dallas-Mavericks-vs-Portland-Trail-Blazers/1285730425,False,0,130,2021-03-20 00:00:00+00:00,Portland Trail Blazers,Dallas Mavericks,Total Rebounds - Derrick Jones Jr.,over,2.3,4.5,2021-03-19 00:00:00+00:00,0,Derrick Jones Jr.,REB,Derrick Jones Jr.,REB,4.0
